"","gsis_id","num_seasons","total_receptions","total_targets","total_rec_yards","total_receiving_tds","total_receiving_air_yards","total_yac","avg_tgt_share","avg_ay_share","avg_wopr","season_draft","round_draft","pick_draft","clean_team_draft","pfr_player_name_draft","age_draft","season_roster","clean_team_enter_fifth","same_team"
"155","00-0034286",3,38,59,689,3,548,397,0.0952575266683716,0.130780050813134,0.234432325571751,2018,7,240,"SF","Richie James",23,2022,"NYG",0
"156","00-0034339",2,35,57,273,2,397,78,0.137852375019383,0.139232500902299,0.304241313160683,2018,7,256,"WAS","Trey Quinn",22,2022,"DEN",0
"157","00-0034348",4,175,312,2658,12,4229,657,0.192406619672027,0.316803484497236,0.510372368656106,2018,2,40,"DEN","Courtland Sutton",22,2022,"DEN",1
"158","00-0034353",4,145,235,1645,12,2386,553,0.141888808028831,0.151346810055235,0.318775979081911,2018,2,51,"CHI","Anthony Miller",23,2022,"PIT",0
"159","00-0034366",4,95,132,1056,5,923,547,0.135218691291918,0.110570412835516,0.280227325922739,2018,4,103,"HOU","Keke Coutee",21,2022,"IND",0
"160","00-0034370",3,81,142,833,5,1411,290,0.127376775489934,0.165644913248591,0.307016602508914,2018,4,113,"DEN","DaeSean Hamilton",23,NA,NA,0
"161","00-0034386",3,23,40,258,2,473,33,0.0774138477997883,0.0897909376903532,0.17897442808293,2018,5,144,"TB","Justin Watson",22,2022,"KC",0
"162","00-0034395",1,2,3,23,0,28,0,0.0578571428571429,0.091149194153486,0.150590150193154,2018,5,159,"IND","Daurice Fountain",22,2022,"KC",0
"163","00-0034406",1,9,20,124,0,227,22,0.0590537993700049,0.10380296731819,0.16124277617774,2018,6,185,"IND","Deon Cain",22,2022,"PHI",0
"164","00-0034407",3,66,96,410,0,414,256,0.0678814385431506,0.0379357118763184,0.128377156128149,2018,6,187,"BUF","Ray-Ray McCloud",21,2022,"SF",0
"165","00-0034411",4,193,287,2065,9,2433,699,0.149541744610015,0.160757253558911,0.336842694406261,2018,6,194,"ATL","Russell Gage",22,2022,"TB",0
